Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
29-jul-22;1781,80;1773,10;1784,60;1768,40;140,67K;0,71%
28-jul-22;1769,20;1751,40;1774,40;1750,40;192,86K;2,91%
27-jul-22;1719,10;1715,20;1739,60;1709,10;144,87K;0,08%
26-jul-22;1717,70;1717,90;1726,40;1711,50;147,37K;-0,08%
25-jul-22;1719,10;1726,30;1734,60;1712,90;160,72K;-0,48%
22-jul-22;1727,40;1717,20;1738,30;1711,70;200,62K;0,82%
21-jul-22;1713,40;1693,70;1719,50;1678,40;248,88K;0,78%
20-jul-22;1700,20;1709,50;1712,70;1690,10;174,47K;-0,61%
19-jul-22;1710,70;1707,20;1716,50;1702,60;131,77K;0,03%
18-jul-22;1710,20;1706,40;1722,00;1704,40;157,54K;0,39%
15-jul-22;1703,60;1708,20;1714,20;1696,60;176,80K;-0,13%
14-jul-22;1705,80;1733,60;1734,80;1695,00;266,35K;-1,71%
13-jul-22;1735,50;1723,60;1744,30;1704,50;300,55K;0,62%
12-jul-22;1724,80;1731,30;1742,20;1721,60;255,17K;-0,40%
11-jul-22;1731,70;1741,50;1743,00;1729,00;171,90K;-0,61%
8-jul-22;1742,30;1738,70;1751,70;1726,00;189,18K;0,15%
7-jul-22;1739,70;1737,20;1748,20;1734,70;151,26K;0,18%
6-jul-22;1736,50;1764,20;1771,50;1730,70;258,82K;-1,55%
4-jul-22;1763,90;1814,40;1815,20;1763,00;310,37K;-2,09%
1-jul-22;1801,50;1808,10;1813,60;1783,40;249,49K;-0,32%
30-jun-22;1807,30;1819,20;1826,80;1802,50;208,90K;-0,56%
29-jun-22;1817,50;1821,40;1834,90;1810,70;155,54K;-0,20%
28-jun-22;1821,20;1823,60;1830,90;1819,10;111,40K;-0,20%
27-jun-22;1824,80;1839,60;1842,80;1821,80;143,82K;-0,30%
24-jun-22;1830,30;1824,20;1833,70;1817,70;139,72K;0,03%
23-jun-22;1829,80;1839,70;1848,90;1823,50;167,07K;-0,47%
22-jun-22;1838,40;1834,90;1850,30;1824,50;149,55K;-0,02%
20-jun-22;1838,80;1840,60;1848,40;1830,70;176,30K;-0,10%
17-jun-22;1840,60;1859,30;1861,50;1836,10;141,72K;-0,50%
16-jun-22;1849,90;1835,80;1860,20;1816,30;180,89K;1,67%
15-jun-22;1819,60;1809,70;1845,40;1808,40;203,42K;0,34%
14-jun-22;1813,50;1820,90;1833,30;1806,10;165,15K;-1,00%
13-jun-22;1831,80;1879,00;1882,50;1819,00;252,54K;-2,33%
10-jun-22;1875,50;1850,40;1879,60;1826,50;267,20K;1,23%
9-jun-22;1852,80;1855,10;1857,80;1841,90;131,29K;-0,20%
8-jun-22;1856,50;1855,00;1862,40;1846,60;114,14K;0,24%
7-jun-22;1852,10;1843,50;1858,20;1838,50;119,21K;0,46%
6-jun-22;1843,70;1853,70;1861,20;1843,00;103,18K;-0,35%
3-jun-22;1850,20;1872,60;1878,60;1849,70;115,34K;-1,13%
2-jun-22;1871,40;1849,90;1874,40;1846,50;127,47K;1,23%
1-jun-22;1848,70;1840,00;1853,00;1830,20;158,04K;0,02%
30-may-22;1848,40;1856,50;1867,90;1837,60;201,80K;-0,48%
27-may-22;1857,30;1855,10;1866,90;1851,90;123,76K;0,53%
